Xkr4
Rp1
Sox17
Mrpl15
Lypla1
Tcea1
Rgs20
Atp6v1h
Oprk1
Npbwr1
Rb1cc1
Alkal1
St18
Pcmtd1
Sntg1
Rrs1
Adhfe1
Vxn
Mybl1
Vcpip1
Sgk3
Mcmdc2
Tcf24
Ppp1r42
Cops5
Cspp1
Arfgef1
Cpa6
Prex2
A830018L16Rik
Sulf1
Slco5a1
Prdm14
Ncoa2
Tram1
Lactb2
Xkr9
Eya1
Msc
Trpa1
Kcnb2
Terf1
Sbspon
4930444P10Rik
Rpl7
Rdh10
Stau2
Ube2w
Eloc
Tmem70
Ly96
Jph1
Gdap1
Pi15
Crispld1
Crisp4
Defb18
Defb41
Tfap2d
Tfap2b
Pkhd1
Il17a
Il17f
Mcm3
Paqr8
Efhc1
Tram2
Tmem14a
Gsta3
Khdc1a
Khdc1c
Khdc1b
Kcnq5
Rims1
Ppp1r14bl
Ogfrl1
B3gat2
Smap1
Sdhaf4
Fam135a
Col9a1
Col19a1
Lmbrd1
Gm20172
Adgrb3
Spata31e2
Spata31e5
Phf3
Ptp4a1
Lgsn
Dnaaf6rt
Khdrbs2
Gm9839
Semp2l1
Prim2
Rab23
Bag2
Zfp451
Gm15455
Bend6
Dst
Ccdc115
Imp4
Ptpn18
Prss39
Cfc1
Prss40
Amer3
Arhgef4
Smim39
Fam168b
Plekhb2
Hs6st1
Uggt1
Neurl3
Arid5a
Kansl3
Fer1l5
Lman2l
Cnnm4
Cnnm3
Ankrd23
Ankrd39
Sema4c
Fam178b
Cox5b
Actr1b
4933424G06Rik
Zap70
Tmem131
Vwa3b
Cnga3
Inpp4a
Coa5
Unc50
Mgat4a
Cracdl
Tsga10
Lipt1
Mitd1
Mrpl30
Lyg2
Lyg1
Txndc9
Eif5b
Rev1
Aff3
Lonrf2
Chst10
Nms
Pdcl3
Npas2
Rpl31
Tbc1d8
Cnot11
Rnf149
Creg2
Rfx8
Map4k4
Il1r2
Il1r1
Il1rl2
Il1rl1
Il18r1
Il18rap
Slc9a4
Slc9a2
Mfsd9
Tmem182
Pou3f3
Mrps9
Gpr45
Tgfbrap1
AI597479
Fhl2
Nck2
Ecrg4
Uxs1
Tpp2
Mettl21c
Ccdc168
Tex30
Poglut2
Bivm
Ercc5
Mettl21e
Gulp1
Col3a1
Col5a2
Wdr75
Slc40a1
Dnah7b
Dnah7c
Slc39a10
Tmeff2
Cavin2
Nabp1
Myo1b
Stat4
Stat1
Gls
Nab1
Nemp2
Mfsd6
Inpp1
Hibch
1700019D03Rik
Mstn
1700019A02Rik
Pms1
Ormdl1
Osgepl1
Asdurf
Asnsd1
Dnah7a
Stk17b
Hecw2
Ccdc150
Gtf3c3
Gm34066
Pgap1
Ankrd44
Sf3b1
Coq10b
Hspd1
Hspe1
Mob4
Rftn2
Mars2
Boll
Plcl1
Hsfy2
Satb2
1700066M21Rik
Maip1
Tyw5
Spats2l
Kctd18
Sgo2a
Aox1
Aox3
Aox4
Aox2
Bzw1
Clk1
Nif3l1
Ppil3
Orc2
Hycc2
Ndufb3
Flacc1
Cflar
Casp8
Trak2
Stradb
C2cd6
Tmem237
Mpp4
Als2
Cdk15
Fzd7
Gm973
Sumo1
Nop58
Bmpr2
Fam117b
Ica1l
Wdr12
Carf
Nbeal1
Cyp20a1
Abi2
Raph1
Cd28
Ctla4
Icos
Pard3b
Nrp2
Ino80d
Ndufs1
Eef1b2
Cmklr2
Zdbf2
Adam23
Fam237a
Dytn
Mdh1b
Fastkd2
Klf7
Creb1
Mettl21a
Ccnyl1
Fzd5
Plekhm3
Akr1cl
Cryge
Crygd
Crygc
Crygb
Cryga
D630023F18Rik
Idh1
Pikfyve
Pth2r
Crygf
Map2
Unc80
Rpe
Kansl1l
Acadl
Myl1
Lancl1
Cps1
Erbb4
Ikzf2
Spag16
Vwc2l
Bard1
Abca12
Atic
Fn1
Mreg
Pecr
Tmem169
Xrcc5
Marchf4
Smarcal1
Ankar
Rpl37a
Igfbp2
Igfbp5
Tnp1
Tns1
Rufy4
Cxcr2
Cxcr1
Arpc2
Gpbar1
Aamp
Pnkd
Tmbim1
Catip
Slc11a1
Ctdsp1
Vil1
Usp37
Cnot9
Plcd4
Zfp142
Bcs1l
Rnf25
Stk36
Ttll4
Cyp27a1
Prkag3
Wnt6
Wnt10a
Cdk5r2
Fev
Cryba2
Cfap65
Ihh
Nhej1
Slc23a3
Cnppd1
Retreg2
Zfand2b
Abcb6
Atg9a
Ankzf1
Glb1l
Stk16
Tuba4a
A630095N17Rik
Dnajb2
Ptprn
Resp18
Dnpep
Des
Speg
Gmppa
Asic4
Chpf
Tmem198
Obsl1
Inha
Stk11ip
Slc4a3
Epha4
Pax3
Gm2102
Sgpp2
Farsb
Mogat1
Acsl3
Utp14b
Kcne4
Scg2
Ap1s3
Wdfy1
Mrpl44
Serpine2
Fam124b
Cul3
Dock10
Nyap2
Irs1
Rhbdd1
Col4a4
Col4a3
Mff
Tm4sf20
Agfg1
Slc19a3
Krtap28-13
Ccl20
Daw1
Sphkap
Pid1
Dner
Trip12
Fbxo36
Slc16a14
Sp140l1
Gm7609
Sp140l2
Gm38510
Gm7592
Sp110
Sp140
Sp100
A630001G21Rik
Cab39
Itm2c
Gpr55
Spata3
2810459M11Rik
Psmd1
Htr2b
Armc9
B3gnt7
Ncl
Nmur1
Tex44
Ptma
Pde6d
Cops7b
Nppc
Dis3l2
Alppl2
Alpi
Akp3
Ecel1
Prss56
Chrnd
Chrng
Eif4e2
Efhd1
Gigyf2
Kcnj13
Snorc
Ngef
Neu2
Inpp5d
Atg16l1
Sag
Dgkd
Usp40
Ugt1a10
Ugt1a9
Ugt1a8
Ugt1a7c
Ugt1a6b
Ugt1a6a
Ugt1a5
Ugt1a2
Dnajb3
